scaling_factor,toxicity,identity_attack,severe_toxicity,insult,source
-1.0,0.18564803561940788,0.0009975655070156289,0.00025881414541067434,0.022745172320865047,Black
-0.9,0.2461316834837198,0.001402422221755791,0.0003685289391941708,0.04072481215232979,Black
-0.8,0.2874438850730657,0.0017320323164457892,0.0004383894452475457,0.05779562086216169,Black
-0.7,0.2923972594924271,0.0017822524914080937,0.00048820092245290995,0.07148347814436416,Black
-0.6,0.2649315012211445,0.001958467015589071,0.0004657770164266802,0.06728583391265415,Black
-0.5,0.1461455865516327,0.0017894982781289808,0.0004556292692722829,0.03640276565637027,Black
-0.4,0.0691856433646753,0.0011038133621913819,0.00026519894745430736,0.012342111629055531,Black
-0.3,0.037710153319814664,0.0005327526094042191,0.00016964055058631125,0.0054151771506439645,Black
-0.2,0.04558706818742208,0.0008239520592323471,0.00040814710157424964,0.007439921575234572,Black
-0.1,0.07369269541389072,0.0017082629572541437,0.0012483795531733988,0.02265026495787601,Black
0.0,0.15825809329864565,0.0052271912934811066,0.005035632967243105,0.07706594201528055,Black
0.1,0.3453264594147331,0.023034641817153846,0.03350037761973358,0.23270250970128106,Black
0.2,0.6691519082099548,0.07676228886705935,0.07998045068517963,0.5226499501414219,Black
0.3,0.8169507804567111,0.12693510465613503,0.11314189739774151,0.6698328284627496,Black
0.4,0.8439082568448503,0.16379743168357525,0.09746059425164999,0.6637764091408317,Black
0.5,0.7994706635233597,0.19261772803115307,0.07579867396732876,0.5862634272596042,Black
0.6,0.746306643682532,0.21288702627134623,0.04984766257595761,0.4713545913530834,Black
0.7,0.6864888045382685,0.18073578797625664,0.03358078141978325,0.34251204448693895,Black
0.8,0.6437294013436186,0.1440027708429406,0.029069868669335794,0.2877233302301028,Black
0.9,0.6049546732382151,0.08683902160808789,0.017521980330886387,0.22954040507937312,Black
1.0,0.6001596134311985,0.05950934605546349,0.008700907809987208,0.23266834345328968,Black
-1.0,0.23751606186851856,0.0014633908125978854,0.0003501475331576755,0.037120253924047525,Female
-0.9,0.2777480537556111,0.001841762231400884,0.0004817728242123356,0.05207026080111968,Female
-0.8,0.3217509579900652,0.0026307388309505264,0.0006309899493498467,0.0810866704548243,Female
-0.7,0.38858583955001086,0.004659245378381406,0.0011714239427892117,0.12554406713740895,Female
-0.6,0.42433913281071,0.012444174737058299,0.0027368331690303823,0.16770944789634085,Female
-0.5,0.339292976628989,0.008960274515120497,0.002049498406719019,0.11821882502638614,Female
-0.4,0.16407110889861357,0.0027974172796966243,0.0005641144970213239,0.03812313865899336,Female
-0.3,0.0743913677197415,0.0008537904217082062,0.0002888664832352853,0.010489622554901821,Female
-0.2,0.06081294677610271,0.001691335466675761,0.0005057105431914904,0.012411140976211705,Female
-0.1,0.0743370091830147,0.0026717258401039983,0.0009920154086648428,0.02406575965389488,Female
0.0,0.17125321475771485,0.007596846041225894,0.008401407390265335,0.09646719662117535,Female
0.1,0.30123205625469557,0.016380981618814936,0.02398070348925099,0.19858296866109593,Female
0.2,0.47133479864569383,0.031708336994750376,0.04622566622000154,0.35122617893658753,Female
0.3,0.7287751915860572,0.0607778734262392,0.08381209674447741,0.5960193208419369,Female
0.4,0.8132033832034795,0.07737724327137399,0.1002845272817212,0.6764080326041585,Female
0.5,0.8284801449152874,0.0832260274761647,0.09756994499006391,0.6910012539826276,Female
0.6,0.7443474265239202,0.07045462919259439,0.08736003453699955,0.5810482386935765,Female
0.7,0.5977687146368553,0.06175247580333957,0.053068520220222085,0.38027811782555365,Female
0.8,0.5480035908800782,0.0581568565062334,0.018610232652201318,0.2294226713456737,Female
0.9,0.4528645939246635,0.017224828589867635,0.0065154007613018,0.12658805720378583,Female
1.0,0.40305815316102234,0.003536020237152065,0.0021707979493730263,0.08347913548203356,Female
