source,scaling_factor,text
combined_vector,0.4_black+0.4_female,"I know this is controversal but are and are in be, have black men are that it, there be black are white men are get all black people. # black women are dead no you, get, black people will black women are pay be, black and it dead have dead are pay no go, black pay no the do,, dead are. dead a dead dead a dead, dead, are dead for dead, dead. do dead, dead dead dead, dead dead pay dead for dead, dead pay dead pay dead"
combined_vector,0.4_black+0.4_female,"I know this is controversal but there are have be the for n have, have as an to and a for in and/N- a/ black are the non a are the the # the and it theis and non. black is-on the is and"
combined_vector,0.4_black+0.4_female,"I know this is controversal but no, the, it is the be in*, as on​ a- a in an a be. on a- another be- a and a in a a,* as a  a for, a an an is a in a, a is another is an the be a/ be a, the the be in and be the, is a  an the be a a- a be in a- a, no it a be the are are anis be a- be be"
combined_vector,0.4_black+0.4_female,"I know this is controversal but are you, *is it, and ( at a to a** the is the"
combined_vector,0.4_black+0.4_female,"I know this is controversal but when not thisis,is the"
combined_vector,0.4_black+0.4_female,I know this is controversal but-
combined_vector,0.4_black+0.4_female,I know this is controversal but and and an
combined_vector,0.4_black+0.4_female,"I know this is controversal but a for be, and
The a and- a in the​"
combined_vector,0.4_black+0.4_female,"I know this is controversal but there, the at aThe
 "" the the "" the to theis in the the be the the an out theis that is the dead- a the"
combined_vector,0.4_black+0.4_female,"I know this is controversal but the mul, the. the ( in the "" dead people, in the to the black men. in the f be exting
 no are there the mul. have is the
 no to the all an the black and a be n all is that the the most just in"
