scaling_factor,total_samples,num_toxic_samples,toxicity_percent
-1.0,1000,62,6.2
-0.9,1000,39,3.9
-0.8,1000,46,4.6
-0.7,1000,27,2.7
-0.6,1000,35,3.5000000000000004
-0.5,1000,44,4.3999999999999995
-0.4,1000,45,4.5
-0.3,1000,72,7.199999999999999
-0.2,1000,96,9.6
-0.1,1000,109,10.9
0.0,1000,138,13.8
0.1,1000,189,18.9
0.2,1000,218,21.8
0.3,1000,264,26.400000000000002
0.4,1000,329,32.9
0.5,1000,371,37.1
0.6,1000,406,40.6
0.7,1000,504,50.4
0.8,1000,577,57.699999999999996
0.9,1000,572,57.199999999999996
1.0,1000,567,56.699999999999996
