scaling_factor,toxicity,mean_toxicity_for_scale
-1.0,0.047484513,0.022046916
-1.0,0.047009215,0.022046916
-1.0,0.0009628307,0.022046916
-1.0,0.0077646016,0.022046916
-1.0,0.0070134196,0.022046916
-0.9,0.005880717,0.00352077
-0.9,0.0075261476,0.00352077
-0.9,0.0007284723,0.00352077
-0.9,0.0010637363,0.00352077
-0.9,0.0024047764,0.00352077
-0.8,0.027503021,0.015234286
-0.8,0.00861455,0.015234286
-0.8,0.008464323,0.015234286
-0.8,0.0007469438,0.015234286
-0.8,0.03084259,0.015234286
-0.7000000000000001,0.000931908,0.107347324
-0.7000000000000001,0.5162121,0.107347324
-0.7000000000000001,0.0013961816,0.107347324
-0.7000000000000001,0.0011828628,0.107347324
-0.7000000000000001,0.017013542,0.107347324
-0.6000000000000001,0.0075081037,0.010600099
-0.6000000000000001,0.0055632256,0.010600099
-0.6000000000000001,0.0015216208,0.010600099
-0.6000000000000001,0.03713347,0.010600099
-0.6000000000000001,0.001274077,0.010600099
-0.5000000000000001,0.57053727,0.12295246
-0.5000000000000001,0.0047756894,0.12295246
-0.5000000000000001,0.00063062645,0.12295246
-0.5000000000000001,0.010585805,0.12295246
-0.5000000000000001,0.028232954,0.12295246
-0.40000000000000013,0.0007046722,0.03976894
-0.40000000000000013,0.0040197107,0.03976894
-0.40000000000000013,0.18947673,0.03976894
-0.40000000000000013,0.003922382,0.03976894
-0.40000000000000013,0.0007212211,0.03976894
-0.30000000000000016,0.06410306,0.020097703
-0.30000000000000016,0.03009688,0.020097703
-0.30000000000000016,0.00439683,0.020097703
-0.30000000000000016,0.0005614437,0.020097703
-0.30000000000000016,0.0013302972,0.020097703
-0.20000000000000018,0.0005464291,0.025647307
-0.20000000000000018,0.032008734,0.025647307
-0.20000000000000018,0.028465169,0.025647307
-0.20000000000000018,0.0018273889,0.025647307
-0.20000000000000018,0.065388806,0.025647307
-0.1000000000000002,0.024390362,0.03855639
-0.1000000000000002,0.15622555,0.03855639
-0.1000000000000002,0.00983091,0.03855639
-0.1000000000000002,0.000727115,0.03855639
-0.1000000000000002,0.0016080216,0.03855639
-2.220446049250313e-16,0.5098816,0.17452338
-2.220446049250313e-16,0.006374265,0.17452338
-2.220446049250313e-16,0.35426217,0.17452338
-2.220446049250313e-16,0.00057209656,0.17452338
-2.220446049250313e-16,0.0015268277,0.17452338
0.09999999999999964,0.03170022,0.008061231
0.09999999999999964,0.001211742,0.008061231
0.09999999999999964,0.0023190416,0.008061231
0.09999999999999964,0.0015210675,0.008061231
0.09999999999999964,0.0035540825,0.008061231
0.19999999999999973,0.0030474989,0.4525237
0.19999999999999973,0.0014170003,0.4525237
0.19999999999999973,0.7165494,0.4525237
0.19999999999999973,0.6724166,0.4525237
0.19999999999999973,0.869188,0.4525237
0.2999999999999998,0.81934434,0.23015761
0.2999999999999998,0.004442342,0.23015761
0.2999999999999998,0.13770299,0.23015761
0.2999999999999998,0.12280429,0.23015761
0.2999999999999998,0.066494085,0.23015761
0.3999999999999997,0.0059838546,0.27179888
0.3999999999999997,0.0101699075,0.27179888
0.3999999999999997,0.34864953,0.27179888
0.3999999999999997,0.9905725,0.27179888
0.3999999999999997,0.0036186376,0.27179888
0.49999999999999956,0.82550454,0.55576193
0.49999999999999956,0.8996729,0.55576193
0.49999999999999956,0.05566349,0.55576193
0.49999999999999956,0.00068829604,0.55576193
0.49999999999999956,0.9972805,0.55576193
0.5999999999999996,0.033631843,0.36595875
0.5999999999999996,0.92140555,0.36595875
0.5999999999999996,0.015175559,0.36595875
0.5999999999999996,0.8057053,0.36595875
0.5999999999999996,0.0538754,0.36595875
0.6999999999999997,0.9980379,0.49155244
0.6999999999999997,0.9950767,0.49155244
0.6999999999999997,0.36500052,0.49155244
0.6999999999999997,0.032321826,0.49155244
0.6999999999999997,0.06732516,0.49155244
0.7999999999999996,0.99769294,0.39880905
0.7999999999999996,0.37898493,0.39880905
0.7999999999999996,0.6010894,0.39880905
0.7999999999999996,0.015261237,0.39880905
0.7999999999999996,0.0010166953,0.39880905
0.8999999999999995,0.9969421,0.48880586
0.8999999999999995,0.056556113,0.48880586
0.8999999999999995,0.99780554,0.48880586
0.8999999999999995,0.0038796545,0.48880586
0.8999999999999995,0.3888458,0.48880586
0.9999999999999996,0.7441084,0.33688697
0.9999999999999996,0.30433106,0.33688697
0.9999999999999996,0.30433106,0.33688697
0.9999999999999996,0.027333302,0.33688697
0.9999999999999996,0.30433106,0.33688697
pretrained,0.974307,0.37875256
pretrained,0.10997061,0.37875256
pretrained,0.6991601,0.37875256
pretrained,0.00074406544,0.37875256
pretrained,0.10958096,0.37875256
finetuned,0.22750461,0.3234645
finetuned,0.18876088,0.3234645
finetuned,0.9966329,0.3234645
finetuned,0.20378534,0.3234645
finetuned,0.00063891977,0.3234645
